City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
579,Puerto Escondido,MX,80.96,15.85,-97.0667,Aldea del Bazar Hotel and Spa
580,Magdalena,PH,89.35,14.1999,121.429,Samparada & Gestiada Residences
581,Ashqelon,IL,87.78,31.6693,34.5715,Leonardo Ashkelon
582,Boyolangu,ID,81.82,-8.1181,111.8935,Yos ega cv
585,Ugoofaaru,MV,86.18,5.6667,73.0,Ungoofaaru Inn
586,Farim,GW,85.96,12.4839,-15.2217,
590,Manado,ID,86.77,1.487,124.8455,Aryaduta Hotel
591,Uttarkashi,IN,93.7,30.7333,78.45,Anand Ganga
593,Nahrin,AF,76.62,36.0649,69.1334,
594,Kasongo-Lunda,CD,80.1,-6.4667,16.8167,
598,Boa Vista,BR,76.98,2.8197,-60.6733,Aipana Plaza Hotel
602,Mattru,SL,81.3,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
606,Shakawe,BW,77.07,-18.3667,21.85,Ditlhapi Guest House
607,Gamba,GA,82.44,-2.65,10.0,
609,Mwense,ZM,75.9,-10.3845,28.698,Mwense Council Guest House
610,Baculin,PH,81.01,7.4525,126.5842,Baculin Cove Beach Resort
612,Gizo,SB,82.85,-8.103,156.8419,Imagination Island
616,Benguela,AO,83.46,-12.5763,13.4055,Hotel Praia Morena
617,Lashio,MM,77.27,22.9333,97.75,Hotel CF Lashio - Burmese Only
618,Gwadar,PK,87.73,25.1216,62.3254,Sadaf Resort
619,Kapoeta,SS,82.0,4.7717,33.5903,Eastgate Hotel
620,Biak,ID,81.03,-0.9131,122.8766,Penginapan Kim
621,Bukama,CD,79.56,-9.2,25.85,
630,Sur,OM,94.95,22.5667,59.5289,Sur Plaza Hotel
632,Kaffrine,SN,83.37,14.1059,-15.5508,Beuleup counda motel
633,Poso,ID,82.72,-1.3959,120.7524,Hotel 77 Poso
634,Grand-Lahou,CI,83.39,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
635,Sao Jose Da Coroa Grande,BR,76.93,-8.8978,-35.1478,Crôa Mares Hotel
636,Khash,IR,86.9,28.2211,61.2158,خوابگاه آبجی محدثه
639,Auki,SB,78.96,-8.7676,160.7034,Auki Motel
640,Pak Phanang,TH,82.42,8.3511,100.202,Green Park Inn Hotel
642,Imamoglu,TR,78.51,37.2651,35.6572,İSAK TATAR
644,Labuhan,ID,85.95,-6.8844,112.2051,DoubleFAG
645,Magaria,NE,98.11,12.9983,8.9099,Chez Honorable Chapiou
647,Chiang Rai,TH,85.3,19.9167,99.9167,Imsuk Homestay at Chiang Rai
649,Antalaha,MG,83.7,-14.9003,50.2788,Hotel Vitasoa
